seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
chr15,12029616,12037626,8011,*,1631,201.651840193281,-0.514494139251791,-87.6707268113404,4.01235806283353e-05,0.000186670117773068,20075415,20077045,1631
chr12,19831912,19832844,933,*,220,95.7951826290068,-1.212182028976,-62.0339191263092,4.01235806283353e-05,0.000186670117773068,10930380,10930599,220
chr16,13754698,13759763,5066,*,1260,185.864103783368,0.56365688445551,59.0126076348635,4.01235806283353e-05,0.000186670117773068,25002263,25003522,1260
chr14,11196796,11196937,142,*,34,27.2520588927126,2.26523966049711,52.2659703737658,4.01235806283353e-05,0.000186670117773068,16005438,16005471,34
chr11,13315053,13319805,4753,*,1072,174.42888498748,0.523473070261316,50.59086900685,4.01235806283353e-05,0.000186670117773068,8883237,8884308,1072
chr15,23022822,23023643,822,*,168,81.4224560406718,1.66126116916166,49.6418457237855,4.01235806283353e-05,0.000186670117773068,21698142,21698309,168
chr14,13769581,13773071,3491,*,923,186.738941830581,0.626781430039231,48.696140543389,4.01235806283353e-05,0.000186670117773068,16509179,16510101,923
chr11,3381434,3383059,1626,*,316,69.3394051856472,-0.753820888976589,-47.4942826452821,4.01235806283353e-05,0.000186670117773068,7222597,7222912,316
chr12,6942508,6945787,3280,*,605,115.39488965435,0.653031568967946,47.207373740342,4.01235806283353e-05,0.000186670117773068,10831448,10832052,605
chr16,9201343,9205065,3723,*,680,100.318387822229,0.556341228443748,46.4856669155227,4.01235806283353e-05,0.000186670117773068,24084160,24084839,680
chr10,3191955,3194258,2304,*,557,97.050846121558,0.5607363215757,46.3131609659866,4.01235806283353e-05,0.000186670117773068,5808971,5809527,557
chr11,23789363,23789903,541,*,123,19.3572857456419,-1.05783855394823,-45.6653392726441,4.01235806283353e-05,0.000186670117773068,10218509,10218631,123
chr15,21720068,21729085,9018,*,1634,275.847276841444,0.50061231091552,44.8295767917891,4.01235806283353e-05,0.000186670117773068,21442063,21443696,1634
chr16,1344765,1351537,6773,*,1599,257.899760675379,0.385462401131838,44.0128257943573,4.01235806283353e-05,0.000186670117773068,22868459,22870057,1599
chr15,1744,1928,185,*,80,49.4303986909415,1.58948550132347,43.171133190213,4.01235806283353e-05,0.000186670117773068,18303354,18303433,80
chr9,15054930,15055304,375,*,99,16.8921640267008,-1.12982827428321,-42.2132434242057,4.01235806283353e-05,0.000186670117773068,2956653,2956751,99
chr11,2638173,2639580,1408,*,226,48.7463074506556,-0.780863096272873,-41.9272585607508,4.01235806283353e-05,0.000186670117773068,7218114,7218339,226
chr10,5298225,5300559,2335,*,503,87.2254821923759,-0.579245367061373,-41.0317726639377,4.01235806283353e-05,0.000186670117773068,6175354,6175856,503
chr11,15329165,15329496,332,*,52,25.1113613663021,-1.45560595206828,-39.4866785135714,4.01235806283353e-05,0.000186670117773068,9266231,9266282,52
chr14,4895202,4896273,1072,*,265,106.761323773636,-1.15339087843582,-39.3760173519311,4.01235806283353e-05,0.000186670117773068,14757122,14757386,265
chr15,8065110,8067743,2634,*,684,95.3023017695983,0.490190291983418,39.0453220031216,4.01235806283353e-05,0.000186670117773068,19269839,19270522,684
chr14,2991442,2993857,2416,*,565,115.998353012803,0.600905362916371,38.4230104435584,4.01235806283353e-05,0.000186670117773068,14383950,14384514,565
chr9,23613736,23615561,1826,*,437,61.2203434824411,-0.508941514189267,-38.2470980014742,4.01235806283353e-05,0.000186670117773068,4303516,4303952,437
chr14,9935501,9937361,1861,*,362,89.4602782216006,0.741294757729877,37.8128255876412,4.01235806283353e-05,0.000186670117773068,15754753,15755114,362
chr9,8660498,8662869,2372,*,488,94.9287577788274,0.59431772155772,37.4245776198726,4.01235806283353e-05,0.000186670117773068,1705887,1706374,488
chr9,17057309,17059281,1973,*,488,60.6079967020121,-0.410647079870268,-37.3455823321436,4.01235806283353e-05,0.000186670117773068,3338366,3338853,488
chr9,9370158,9370964,807,*,144,38.1947084867921,0.926094463448151,37.3378107266106,4.01235806283353e-05,0.000186670117773068,1844829,1844972,144
chr11,21920696,21923346,2651,*,544,99.8996599936637,0.61621309943195,36.961004210727,4.01235806283353e-05,0.000186670117773068,9854736,9855279,544
chr16,17061139,17063362,2224,*,524,84.6885190566127,0.582372096185278,36.8558767079274,4.01235806283353e-05,0.000186670117773068,25653349,25653872,524
chr9,23507070,23508894,1825,*,440,91.7973657323237,0.586824338244243,36.565843797472,4.01235806283353e-05,0.000186670117773068,4281727,4282166,440
chr12,12723388,12724725,1338,*,263,91.8304019670507,1.12188252629966,36.4363656218418,4.01235806283353e-05,0.000186670117773068,10875744,10876006,263
chr9,2815378,2818075,2698,*,551,94.8286727178321,0.543046454930724,36.326505552317,4.01235806283353e-05,0.000186670117773068,557556,558106,551
chr12,19530185,19535002,4818,*,795,113.31932794256,0.43395803236606,36.1655475696087,4.01235806283353e-05,0.000186670117773068,10928158,10928952,795
chr14,18637126,18637904,779,*,176,53.0911200597448,1.01624759882496,35.7317722617943,4.01235806283353e-05,0.000186670117773068,16925270,16925445,176
chr13,1984637,1986188,1552,*,405,66.2312702032892,0.488541886298839,35.353980653366,4.01235806283353e-05,0.000186670117773068,11844127,11844531,405
chr10,17526881,17527004,124,*,22,16.1867585799121,1.90508484790504,35.0694518192645,4.01235806283353e-05,0.000186670117773068,7188118,7188139,22
chr12,23878128,23880483,2356,*,483,74.8050939151702,0.495483943537373,35.0107292596031,4.01235806283353e-05,0.000186670117773068,11295882,11296364,483
chr14,11795189,11798073,2885,*,519,87.4499231895222,0.652009128871469,34.7381885850141,4.01235806283353e-05,0.000186670117773068,16122445,16122963,519
chr9,2756042,2757527,1486,*,290,57.9384947232996,0.622728387364059,34.7182010112054,4.01235806283353e-05,0.000186670117773068,545830,546119,290
chr12,13905406,13907034,1629,*,315,56.0678809709926,-0.565557204880838,-34.5266666118526,4.01235806283353e-05,0.000186670117773068,10889994,10890308,315
chr9,11637826,11638900,1075,*,211,49.6739010313863,-0.851535985570954,-34.4947884690126,4.01235806283353e-05,0.000186670117773068,2282933,2283143,211
chr10,5723583,5725053,1471,*,321,96.9760150894704,0.80069293200471,34.4242767364262,4.01235806283353e-05,0.000186670117773068,6250761,6251081,321
chr12,6759189,6760315,1127,*,200,38.438967754512,0.565868704807814,34.4124879171515,4.01235806283353e-05,0.000186670117773068,10827557,10827756,200
chr10,5716285,5721138,4854,*,1051,161.755180426208,0.44979160196359,34.3559723790026,4.01235806283353e-05,0.000186670117773068,6249244,6250294,1051
chr13,13180604,13181353,750,*,181,29.0692509283913,-0.665240109500279,-34.338359324048,4.01235806283353e-05,0.000186670117773068,13383264,13383444,181
chr15,25602591,25603514,924,*,197,42.3631216208554,0.819284365648319,34.2893250786323,4.01235806283353e-05,0.000186670117773068,22167900,22168096,197
chr14,5055437,5059109,3673,*,761,105.24905212048,0.422371417668919,34.2248148768337,4.01235806283353e-05,0.000186670117773068,14789238,14789998,761
chr14,5650910,5651661,752,*,191,81.0520410606813,1.34281568080627,34.0752466867901,4.01235806283353e-05,0.000186670117773068,14906994,14907184,191
chr13,14863723,14865214,1492,*,270,43.4696420334241,-0.593267357134792,-34.0228921752589,4.01235806283353e-05,0.000186670117773068,13697904,13698173,270
chr16,20441325,20441515,191,*,42,15.4341844675953,1.19594052650799,33.9981826057942,4.01235806283353e-05,0.000186670117773068,25680532,25680573,42
chr13,13251514,13254148,2635,*,551,61.7311481533117,0.40631425392417,33.9531069504226,4.01235806283353e-05,0.000186670117773068,13398356,13398906,551
